---,ResultItemTag,ResultQuantity,RequiredRecipeItemTag,bConsumeRecipeItem,Ingredients,bEnabled,SortOrder
SwordA1,"(TagName=""Item.Id.Weapon.Sword.SwordA1"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1))",True,0
SwordA2,"(TagName=""Item.Id.Weapon.Sword.SwordA2"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1))",True,0
SwordA3,"(TagName=""Item.Id.Weapon.Sword.SwordA3"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1))",True,0
SwordA4,"(TagName=""Item.Id.Weapon.Sword.SwordA4"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.EpicRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial""),Quantity=1))",True,0
SwordA5,"(TagName=""Item.Id.Weapon.Sword.SwordA5"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.LegendaryRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial""),Quantity=1))",True,0
SwordB1,"(TagName=""Item.Id.Weapon.Sword.SwordB1"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1))",True,0
SwordB2,"(TagName=""Item.Id.Weapon.Sword.SwordB2"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1))",True,0
SwordB3,"(TagName=""Item.Id.Weapon.Sword.SwordB3"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1))",True,0
SwordB4,"(TagName=""Item.Id.Weapon.Sword.SwordB4"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.EpicRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial""),Quantity=1))",True,0
SwordB5,"(TagName=""Item.Id.Weapon.Sword.SwordB5"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.LegendaryRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Iron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodIron""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial""),Quantity=1))",True,0
ShortBow1,"(TagName=""Item.Id.Weapon.Bow.ShortBow1"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1))",True,0
ShortBow2,"(TagName=""Item.Id.Weapon.Bow.ShortBow2"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1))",True,0
ShortBow3,"(TagName=""Item.Id.Weapon.Bow.ShortBow3"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1))",True,0
ShortBow4,"(TagName=""Item.Id.Weapon.Bow.ShortBow4"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.EpicRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial""),Quantity=1))",True,0
ShortBow5,"(TagName=""Item.Id.Weapon.Bow.ShortBow5"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.LegendaryRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial""),Quantity=1))",True,0
LongBow1,"(TagName=""Item.Id.Weapon.Bow.LongBow1"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1))",True,0
LongBow2,"(TagName=""Item.Id.Weapon.Bow.LongBow2"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1))",True,0
LongBow3,"(TagName=""Item.Id.Weapon.Bow.LongBow3"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1))",True,0
LongBow4,"(TagName=""Item.Id.Weapon.Bow.LongBow4"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.EpicRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial""),Quantity=1))",True,0
LongBow5,"(TagName=""Item.Id.Weapon.Bow.LongBow5"")",1,"(TagName=""Item.Id.Material.WeaponSpecialRecipe.LegendaryRecipe"")",True,"((ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.Wood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponMaterial.GoodWood""),Quantity=1),(ItemTag=(TagName=""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial""),Quantity=1))",True,0
Medicine,"(TagName=""Item.Id.Consumables.Heal.Medicine"")",1,"(TagName="""")",False,"((ItemTag=(TagName=""Item.Id.Material.ConsumablesMaterial.Herbs""),Quantity=1))",True,0
