Name,Tier,EnemyType,MaxHealth,Strength,MoveSpeedMultiplier,AttackSpeedMultiplier,CombatSettings
T1_Ground_Melee,1,GroundMelee,50,10,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_Ground_Melee)"
T1_Ground_Ranged,1,GroundRanged,40,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_Ground_Ranged)"
T1_Deck_Melee,1,DeckMelee,50,10,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_Deck_Melee)"
T1_Deck_Ranged,1,DeckRanged,40,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_Deck_Ranged)"
T1_BossSummon_Ranged,1,BossSummonRanged,20,13,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_BossSummon_Ranged)"
T1_Boss,1,Boss,120,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T1_Boss)"
T2_Ground_Melee,2,GroundMelee,85,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_Ground_Melee)"
T2_Ground_Ranged,2,GroundRanged,60,13,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_Ground_Ranged)"
T2_Deck_Melee,2,DeckMelee,85,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_Deck_Melee)"
T2_Deck_Ranged,2,DeckRanged,60,13,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_Deck_Ranged)"
T2_BossSummon_Ranged,2,BossSummonRanged,40,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_BossSummon_Ranged)"
T2_Boss,2,Boss,225,19,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T2_Boss)"
T3_Ground_Melee,3,GroundMelee,120,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_Ground_Melee)"
T3_Ground_Ranged,3,GroundRanged,100,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_Ground_Ranged)"
T3_Deck_Melee,3,DeckMelee,85,12,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_Deck_Melee)"
T3_Deck_Ranged,3,DeckRanged,60,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_Deck_Ranged)"
T3_BossSummon_Ranged,3,BossSummonRanged,60,17,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_BossSummon_Ranged)"
T3_Boss,3,Boss,360,22,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T3_Boss)"
T4_Ground_Melee,4,GroundMelee,150,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_Ground_Melee)"
T4_Ground_Ranged,4,GroundRanged,125,18,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_Ground_Ranged)"
T4_Deck_Melee,4,DeckMelee,150,15,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_Deck_Melee)"
T4_Deck_Ranged,4,DeckRanged,125,18,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_Deck_Ranged)"
T4_BossSummon_Ranged,4,BossSummonRanged,100,18,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_BossSummon_Ranged)"
T4_Boss,4,Boss,550,25,1,1,"(DataTable=/Game/GameplayAbilitySystem/Enemy/Data/DT_EnemyCombatBalance.DT_EnemyCombatBalance,RowName=T4_Boss)"
