Name,AttackInterval,InitialAttackDelay,MaxSimultaneousMeleeAttackers
T1_Ground_Melee,2.4,0,1
T1_Ground_Ranged,3.2,0,0
T1_Deck_Melee,2.6,0,1
T1_Deck_Ranged,3.4,0,0
T1_BossSummon_Ranged,3.8,1.5,0
T1_Boss,0,0,0
T2_Ground_Melee,2.2,0,2
T2_Ground_Ranged,3.0,0,0
T2_Deck_Melee,2.4,0,2
T2_Deck_Ranged,3.2,0,0
T2_BossSummon_Ranged,3.6,1.5,0
T2_Boss,0,0,0
T3_Ground_Melee,2.0,0,2
T3_Ground_Ranged,2.8,0,0
T3_Deck_Melee,2.2,0,2
T3_Deck_Ranged,3.0,0,0
T3_BossSummon_Ranged,3.4,1.5,0
T3_Boss,0,0,0
T4_Ground_Melee,1.9,0,2
T4_Ground_Ranged,2.6,0,0
T4_Deck_Melee,2.1,0,2
T4_Deck_Ranged,2.8,0,0
T4_BossSummon_Ranged,3.2,1.5,0
T4_Boss,0,0,0
