---,ItemName,HowToInteractText,AttachmentSocketName,MaxStack
Item.Tool.TestRed,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.TestRed_ItemName"", ""Test_RedItem"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.TestRed_HowToInteractText"", ""F to Pick Up"")","HandGrip_R","99"
Item.Tool.TestBlue,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.TestBlue_ItemName"", ""Test_BlueItem"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.TestBlue_HowToInteractText"", ""F to Pick Up"")","HandGrip_R","99"
Item.Tool.Grenade,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.Grenade_ItemName"", ""Test_Grenade"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Tool.Grenade_HowToInteractText"", ""F to Pick Up"")","HandGrip_R","99"
Item.Tool.Trap,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""D7C2025542DC98C4A465129622053007"", ""Trap"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""2834C1D047A138FE9AC017B54BDEEFCC"", ""F to Pick Up"")","HandGrip_R","99"
Item.Tool.ClusterGranade,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""82F787394DE928A4BB91B9BFDCDA3724"", ""ClusterGrenade"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""C5B9CB68438885FD31773A8F0C126AC1"", ""F to Pick Up"")","HandGrip_R","99"
Item.Tool.SniperRifle,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""75B90A0746492EE142CA91B5C27FFE3C"", ""SniperRifle"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""58FD6DA049BCA39E8276A59976D394DE"", ""F to Pick Up"")","HandGrip_R","99"
Item.Material.Submunition.Explosive,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""7297AEAB437D226BA611B3976F75DC7A"", ""Submunition_Explosive"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""B80651BC4C023C2E315DB7BF6B112521"", ""F to Pick Up"")","HandGrip_R","99"
Item.Material.Submunition.Trap,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""26F7F5724787F8F38EB321989A7EDB77"", ""Submunition_Trap"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""A1A7DD8D42B60525776460A1D9094B7B"", ""F to Pick Up"")","HandGrip_R","99"
Item.Material.Cloths,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""B4CD61B14A1B081956D491A5AF8D1FAD"", ""Cloths"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""41DFECC74BE18CD300EA21805B19D11E"", ""F to Pickup"")","GripPoint","99"
Item.Material.Woods,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""7A3F8BAC4D564EB784A8AD86D2B80D29"", ""Woods"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""67D91D694FD4323E83282C82A4987F84"", ""F to Pickup"")","GripPoint","99"
Item.Material.Ore,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""4B4FC1B7482F53603E7FB7971E9B0B22"", ""Ore"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""FCFA09B844F3A052F4D5AC856C009E2B"", ""F to Pickup"")","GripPoint","99"
Item.Weapon.Bow,"NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""88E49D3647EC24E08D5D15BD01F50C8D"", ""Bow"")","NSLOCTEXT(""[CE4F9767908EFAB88519A3F55F9DFE96]"", ""7E4E7C234C8297353AC6AFAD2B4F5133"", ""F to Pickup"")","Bow","1"
Item.Id.Clue.Clue1,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue1_ItemName"", ""Clue 1"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue1_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Clue.Clue2,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue2_ItemName"", ""Clue 2"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue2_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Clue.Clue3,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue3_ItemName"", ""Clue 3"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue3_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Clue.Clue4,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue4_ItemName"", ""Clue 4"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Clue.Clue4_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Consumables.Buff.Chungshimhwan,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Chungshimhwan_ItemName"", ""Chungshimhwan"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Chungshimhwan_HowToInteractText"", ""Pick Up"")","GripPoint","10"
Item.Id.Consumables.Buff.Doraji,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Doraji_ItemName"", ""Doraji"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Doraji_HowToInteractText"", ""Pick Up"")","GripPoint","10"
Item.Id.Consumables.Buff.Gongjindan,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Gongjindan_ItemName"", ""Gongjindan"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Buff.Gongjindan_HowToInteractText"", ""Pick Up"")","GripPoint","10"
Item.Id.Consumables.Heal.Elixir,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Elixir_ItemName"", ""Elixir"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Elixir_HowToInteractText"", ""Pick Up"")","GripPoint","10"
